#obj	RA	DEC		u	g	r	i	redshf	zErr	err_u	err_g	err_r	err_i	
130.0	344.024	0.554283	
131.0	330.873	0.625501	
132.0	351.633	0.471347	
133.0	315.945	0.472863	
134.0	316.561	0.528349	
135.0	332.612	0.535865	
136.0	3.60427	0.446142	
137.0	10.332	0.536356	
138.0	32.1336	0.48513	
139.0	16.0959	0.587192	
140.0	20.775	0.602189	
141.0	22.796	0.580358	
142.0	41.6681	0.559928	
143.0	41.7367	0.45656	
144.0	20.4865	0.510564	
145.0	21.4806	0.541982	
146.0	331.262	0.996752	
147.0	46.3987	0.624593	
148.0	52.216	0.585028	
149.0	47.2092	0.599751	
150.0	336.718	0.992242	
151.0	346.262	0.861395	
152.0	337.662	0.849996	
153.0	310.883	0.963364	
154.0	346.969	1.01483	
155.0	353.89	1.03506	
156.0	0.265057	1.01054	
157.0	1.13511	0.908767	
158.0	355.775	1.03448	
159.0	1.54047	1.03984	
160.0	5.64198	0.841182	
161.0	356.711	1.02369	
162.0	8.22069	0.925448	
163.0	9.37758	0.939759	
164.0	358.753	0.90379	
165.0	359.084	0.863577	
166.0	7.72336	1.02574	
167.0	28.9786	1.02573	
168.0	332.899	-0.956067	
169.0	336.167	-0.897105	
170.0	338.098	-0.919806	
171.0	339.786	-1.02879	
172.0	321.112	-0.961675	
173.0	319.751	-1.04753	
174.0	327.02	-1.00421	
175.0	327.578	-1.02226	
176.0	22.6806	-1.02586	
177.0	22.7003	-0.915028	
178.0	4.67451	-0.880134	
179.0	26.5592	-0.945848	
180.0	6.50771	-0.996114	
181.0	21.6807	-0.977315	
182.0	8.44537	-0.95263	
183.0	32.5409	-0.84077	
184.0	46.1639	-0.901621	
185.0	47.5267	-1.00918	
186.0	43.8048	-0.847551	
187.0	311.829	-0.59887	
#188.0	49.6742	-0.843438	
189.0	313.535	-0.543211	
190.0	314.225	-0.446565	
#191.0	55.342	-1.0213	
192.0	333.084	-0.574282	
193.0	2.87175	-0.624285	
194.0	4.4124	-0.541843	
195.0	16.7882	-0.621739	
196.0	16.7635	-0.433949	
197.0	6.31572	-0.57145	
198.0	26.419	-0.561614	
199.0	26.6572	-0.425423	
200.0	359.563	-0.62807	
201.0	22.4782	-0.589428	
202.0	23.6992	-0.595741	
203.0	24.0769	-0.423253	
204.0	58.6769	-0.588082	
205.0	50.9873	-0.461374	
206.0	313.723	-0.0587937	
207.0	51.7844	-0.431044	
208.0	52.993	-0.607096	
209.0	317.865	-0.0809687	
#210.0	319.946	-0.0530972	
211.0	336.292	-0.198023	
212.0	336.801	-0.134081	
213.0	337.561	-0.125888	
214.0	350.608	-0.0685331	
215.0	338.758	-0.166728	
